title,description,issue,volume,series,publisher,date,creators,format,value
Iron Man + Beast / Thor + Iceman,Regular Orphans Cheeps Cover,7A,1,A+X,Marvel Comics,2014-02-23,Christopher Yost | Zeb Wells | R'John Bernales,,0
Spider-Woman & Kitty Pryde (& Lockheed) / Hawkeye & Deadpool,N/A,8,1,A+X,Marvel Comics,2014-02-23,Gerry Duggan | Christopher Hastings | Reilly Brown,,0
"Captain America + Wolverine / Dr. Strange + Quentin Quire, Pixie And Eye-Boy",N/A,9,1,A+X,Marvel Comics,2014-02-23,David Lapham | Nathan Edmondson | Humberto Ramos,,0
Black Widow Fantomex / Scarlet Witch Domino,N/A,10,1,A+X,Marvel Comics,2014-02-23,Adam Warren | B. Clay Moore | Kris Anka,,0
Thor + Magik / Superior Spider-Man + Cyclops,N/A,11,1,A+X,Marvel Comics,2014-02-23,Jim Krueger | Mike Benson | Mark Texeira,,0
Wonder Man + The Beat / Captailn America + Jubilee,N/A,12,1,A+X,Marvel Comics,2014-02-23,Christos N. Gage | Justin Jordan | Angel Unzueta,,0
Captain America + Cyclops / Black Widow + Emma Frost,N/A,13,1,A+X,Marvel Comics,2014-02-23,Howard Chaykin | Gerry Duggan | David Yardin,,0
N/A,N/A,14,1,A+X,Marvel Comics,2014-02-23,Gerry Duggan | Max Bemis | David Yardin,,0
Doctor Strange +the Beast / Captain America + Cyclops,N/A,15,1,A+X,Marvel Comics,2014-02-23,Jai Nitz | Gerry Duggan | Greg Smallwood,,0
The Amazing Spider-Man + Psylocke / Captain America + Cyclops,N/A,16,1,A+X,Marvel Comics,2014-02-23,Gerry Duggan | Sean Ryan | Goran Parlov,,0
Iron Man + Broo / Captain America + Cyclops,N/A,17,1,A+X,Marvel Comics,2014-03-22,Gerry Duggan | Jeff Loveness | Paco Diaz,,0
N/A,N/A,18,1,A+X,Marvel Comics,2014-04-10,Jim Krueger | Gerry Duggan | Will Sliney,,0
Secret Wars,Jim Cheung Regular Cover,1A,1,A-Force,Marvel Comics,2015-07-10,G. Willow Wilson | Marguerite Bennett | Jorge Molina,,0
Secret Wars,Jorge Molina Regular Cover,2A,1,A-Force,Marvel Comics,2015-07-23,G. Willow Wilson | Marguerite Bennett | Jorge Molina,,0
Secret Wars,Jorge Molina Regular Cover,3A,1,A-Force,Marvel Comics,2015-08-21,G. Willow Wilson | Marguerite Bennett | Jorge Molina,,0
Secret Wars,Jorge Molina Cover,4A,1,A-Force,Marvel Comics,2015-11-20,Marguerite Bennett | Willow Wilson | Jorge Molina,,0
Secret Wars,Jorge Molina Cover,5A,1,A-Force,Marvel Comics,2015-12-13,Marguerite Bennett | Willow Wilson | Jorge Molina,,0
N/A,Regular Jorge Molina Cover,2A,2,A-Force,Marvel Comics,2016-05-19,G. Willow Wilson | Kelly Thompson | Jorge Molina,,0
N/A,Regular Jorge Molina Cover,3A,2,A-Force,Marvel Comics,2016-05-19,G. Willow Wilson | Kelly Thompson | Jorge Molina,,0
N/A,N/A,4,2,A-Force,Marvel Comics,2016-05-19,G. Willow Wilson | Kelly Thompson | Jorge Molina,,0
Rage Against the Dying of the Light,Regular Ben Caldwell Cover,5A,2,A-Force,Marvel Comics,2016-05-30,Kelly Thompson | Ben Caldwell,,0
Rage Against the Dying of the Light,N/A,6,2,A-Force,Marvel Comics,2016-06-03,Kelly Thompson | Ben Caldwell | Scott Hanna,,0
Civil War II,N/A,8A,2,A-Force,Marvel Comics,2017-02-25,Kelly Thompson | Paulo Siqueira,,0
N/A,Regular Paulo Siqueira Cover,9A,2,A-Force,Marvel Comics,2017-02-25,Kelly Thompson | Paulo Siqueira,,0
Civil War II,Regular Stephanie Hans Cover,10A,2,A-Force,Marvel Comics,2017-02-25,Kelly Thompson | Paulo Siqueira | Joe Bennett,,0
N/A,N/A,1B,1,Absolute Carnage,Marvel Comics,2019-08-15,Donny Cates | Ryan Stegman | JP Mayer,,0
N/A,Regular Ryan Stegman Cover,2A,1,Absolute Carnage,Marvel Comics,2019-09-20,Donny Cates | Ryan Stegman | JP Mayer,,0
N/A,Regular Ryan Stegman Cover,3A,1,Absolute Carnage,Marvel Comics,2019-10-17,Donny Cates | Ryan Stegman | JP Mayer,,0
N/A,Regular Ryan Stegman Cover,4A,1,Absolute Carnage,Marvel Comics,2020-02-23,Donny Cates | Ryan Stegman | Jay Leisten,,0
N/A,Regular Ryan Stegman Cover,5A,1,Absolute Carnage,Marvel Comics,2020-02-23,Donny Cates | Mark Bagley | Ryan Stegman,,0
N/A,Regular Tyler Kirkham Cover,1A,1,Absolute Carnage Vs Deadpool,Marvel Comics,2019-08-24,Frank Tieri | Marcelo Ferreira,,0
N/A,Regular Tyler Kirkham Cover,2A,1,Absolute Carnage Vs Deadpool,Marvel Comics,2020-02-13,Frank Tieri | Marcelo Ferreira | Andy Owens,,0
N/A,Regular Tyler Kirkham Cover,3A,1,Absolute Carnage Vs Deadpool,Marvel Comics,2020-02-13,Frank Tieri | Jack Jadson | Marcelo Ferreira,,0
N/A,Regular Clayton Crain Cover,1A,1,Absolute Carnage: Avengers,Marvel Comics,2020-02-23,Leah Williams | Zac Thompson | Alberto Jiménez Alburquerque,,0
N/A,Regular David Nakayama Cover,1A,1,Absolute Carnage: Captain Marvel,Marvel Comics,2021-11-24,Emily Ryan Lerner | Andrea Broccardo | Le Beau Underwood,,0
N/A,Regular Bengal Cover,1A,1,Absolute Carnage: Lethal Protectors,Marvel Comics,2020-02-13,Frank Tieri | Flaviano Armentaro,,0
N/A,Regular Iban Coello Cover,2A,1,Absolute Carnage: Lethal Protectors,Marvel Comics,2020-02-13,Frank Tieri | Flaviano Armentaro,,0
N/A,Regular Iban Coello Cover,3A,1,Absolute Carnage: Lethal Protectors,Marvel Comics,2020-04-13,Frank Tieri | Flaviano Armentaro,,0
N/A,Regular Clayton Crain Cover,1A,1,Absolute Carnage: Miles Morales,Marvel Comics,2019-10-17,Saladin Ahmed | Federico Vincentini,,0
N/A,Regular Clayton Crain Cover,2A,1,Absolute Carnage: Miles Morales,Marvel Comics,2019-10-17,Saladin Ahmed | Federico Vincentini,,0
N/A,Regular Clayton Crain Cover,3A,1,Absolute Carnage: Miles Morales,Marvel Comics,2019-10-17,Saladin Ahmed | Federico Vincentini,,0
N/A,Regular Gerardo Sandoval Cover,1A,1,Absolute Carnage: Scream,Marvel Comics,2019-11-22,Cullen Bunn | Gerardo Sandoval,,0
N/A,Regular Gerardo Sandoval Cover,2A,1,Absolute Carnage: Scream,Marvel Comics,2020-02-13,Cullen Bunn | Gerardo Sandoval,,0
N/A,Regular Gerardo Sandoval Cover,3A,1,Absolute Carnage: Scream,Marvel Comics,2020-02-13,Cullen Bunn | Gerardo Sandoval,,0
N/A,Philip Tan Standard Cover,1A,1,Absolute Carnage: Separation Anxiety,Marvel Comics,2019-11-22,Clay McLeod Chapman | Brian Level,,0
N/A,Regular Philip Tan Cover,1A,1,Absolute Carnage: Symbiote of Vengeance,Marvel Comics,2020-02-13,Ed Brisson | Juan Frigeri,,0
N/A,Regular Greg Land Cover,1A,1,Absolute Carnage: Symbiote Spider-Man,Marvel Comics,2021-01-12,Peter David | Francesco Mobili,,0
N/A,Regular Kyle Hotz Cover,1A,1,Absolute Carnage: The Immortal Hulk,Marvel Comics,2019-10-17,Al Ewing | Filipe Andrade,,0
N/A,Regular Skan Cover,1A,1,Absolute Carnage: Weapon Plus,Marvel Comics,2020-12-14,Jed Mackay | Stefano Raffaele,,0
N/A,N/A,1A,1,Action Comics 2021 Annual,DC Comics,2021-07-16,Phillip Kennedy Johnson | Siya Oum | Scott Godlewski,,0
No Tomorrow For Superman!,Whitman Edition,490B,1,Action Comics,DC Comics,2014-02-23,Cary Bates | Douglas Curtis Swan | Frank Chiaramonte,,0
A Matter Of Light And Death!,Whitman Edition,491B,1,Action Comics,DC Comics,2014-02-23,Cary Bates | Douglas Curtis Swan | Frank Chiaramonte,,0
"""Superman's Secret Afterlife!""",Whitman Edition,492B,1,Action Comics,DC Comics,2014-02-23,Cary Bates | Douglas Curtis Swan | Frank Chiaramonte,,0
Stretching A Point!,N/A,661,1,Action Comics,DC Comics,2014-02-23,Roger Stern | Bob McLeod | Brett Breeding,,0
The Final Chapter,N/A,667,1,Action Comics,DC Comics,2014-02-23,Roger Stern | Jerry Ordway | Denis Rodier,,0
Reign of the Supermen - Born Again,Collector's Edition,687B,1,Action Comics,DC Comics,2014-02-23,Roger Stern | Jackson Guice | Denis Rodier,,0
The Last Purge Of Krypton!,N/A,693,1,Action Comics,DC Comics,2014-02-23,Frank Pittarese | Roger Stern | Karl Kesel,,0
Fall of Metropolis - Swan Song,N/A,700A,1,Action Comics,DC Comics,2014-02-23,Roger Stern | Jackson Guice | Douglas Curtis Swan,,0
"Fall Of Metropolis, Final Conflict",N/A,701,1,Action Comics,DC Comics,2014-02-23,Louise Simonson | Karl Kesel | Jackson Guice,,0
Bad Sport!,N/A,702,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Jackson Guice | Denis Rodier,,0
Zero Hour - Chronocide!,N/A,703,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Jackson Guice | Denis Rodier,,0
"Dead Again, Eradication Day!",N/A,704,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Jackson Guice | Denis Rodier,,0
"Dead Again, Bodies And Motion",N/A,705,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Jackson Guice | Denis Rodier,,0
Saved By The Belle!,N/A,706,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Jackson Guice | Denis Rodier,,0
Like Fire From The Dark,N/A,707,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Jackson Guice | Denis Rodier,,0
Moving Miracle,N/A,708,1,Action Comics,DC Comics,2014-02-23,Chris Duffy | David Michelinie | Jackson Guice,,0
"Crime Tunnel! Or, When Warriors Strongly Disagee!",N/A,709,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Jackson Guice | Denis Rodier,,0
"Death of Clark Kent, Men Of A Different Mettle",N/A,710,1,Action Comics,DC Comics,2014-02-23,Chris Duffy | David Michelinie | Jackson Guice,,0
"Death of Clark Kent, Home And The Hollow Heart!",N/A,711,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Jackson Guice | Denis Rodier,,0
Crossing The (Punch) Line!,N/A,714,1,Action Comics,DC Comics,2014-02-23,David Michelinie | Kieron Dwyer | Denis Rodier,,0
Elseworlds - Legacy,N/A,6,1 Annual,Action Comics,DC Comics,2014-02-23,John Byrne | Dennis Janke,,0
Cyborg Superman: Born In Flames,3D Cover,23.1A,2,Action Comics,DC Comics,2014-02-23,Michael Alan Nelson | Mike Hawthorne,,0
Zod,3D Cover,23.2A,2,Action Comics,DC Comics,2014-02-23,Gregory Pak | Ken Lashley,,0
Up Up And Away!,3D Cover,23.3A,2,Action Comics,DC Comics,2014-02-23,Charles Soule | Raymund Bermudez | Dan Green,,0
Full Metal Jacket,3D Cover,23.4A,2,Action Comics,DC Comics,2014-05-18,Sholly Fisch | Steve Pugh,,0
Zero Year - Stormbreaker,N/A,25A,2,Action Comics,DC Comics,2014-02-23,Gregory Pak | Scott McDaniel | Aaron Kuder,,0
Monster,N/A,26A,2,Action Comics,DC Comics,2014-09-01,Gregory Pak | Aaron Kuder,,0
Underworld,N/A,27A,2,Action Comics,DC Comics,2014-03-22,Gregory Pak | Mike Hawthorne | R.B. Silva,,0
What Lies Beneath,N/A,28A,2,Action Comics,DC Comics,2014-03-22,Gregory Pak | Aaron Kuder,,0
Deep Freeze,N/A,29A,2,Action Comics,DC Comics,2014-03-22,Gregory Pak | Aaron Kuder | Jed Dougherty,,0
Unbound,N/A,30A,2,Action Comics,DC Comics,2014-04-10,Gregory Pak | Karl Kerschl | Aaron Kuder,,0
Superman Doomed - Infected,N/A,31A,2,Action Comics,DC Comics,2014-05-16,Gregory Pak | Cameron Stewart | Aaron Kuder,,0
"Superman Doomed - Enemy Of The State, Chapter 1: Nightmare",N/A,32A,2,Action Comics,DC Comics,2014-07-20,Gregory Pak | Scott Kolins,,0
"Superman Doomed - Enemy Of The State, Nightmare",Bombshell Variant Cover,32B,2,Action Comics,DC Comics,2014-07-20,Gregory Pak | Scott Kolins,,0
"Superman Doomed - Superdoom, Chapter One",N/A,33A,2,Action Comics,DC Comics,2014-07-16,Gregory Pak | Aaron Kuder,,0
Superman Doomed - Last Sun,N/A,34A,2,Action Comics,DC Comics,2014-08-16,Gregory Pak | Scott Kolins | Aaron Kuder,,0
Superman Doomed - Doomed: Aftermath,N/A,35A,2,Action Comics,DC Comics,2014-10-07,Gregory Pak | Scott Kolins | Vicente Cifuentes,,0
Who Needs Superman Anyway?,Monsters of the Month Variant Cover,35B,2,Action Comics,DC Comics,2014-10-07,Gregory Pak | Scott Kolins | Vicente Cifuentes,,0
Horrorville,N/A,36A,2,Action Comics,DC Comics,2015-08-08,Gregory Pak | Aaron Kuder,,0
Small Villians,N/A,37A,2,Action Comics,DC Comics,2015-08-08,Gregory Pak | Aaron Kuder,,0
Home Is Where The Hell Is,N/A,38A,2,Action Comics,DC Comics,2015-08-08,Gregory Pak | Jae Lee | Aaron Kuder,,0
Under The Skin,N/A,39A,2,Action Comics,DC Comics,2015-08-08,Gregory Pak | Scott Kolins | Aaron Kuder,,0
Mirror Cracked,N/A,40A,2,Action Comics,DC Comics,2015-07-11,Gregory Pak | Aaron Kuder,,0
"Hard Truth, Part 1",N/A,41A,2,Action Comics,DC Comics,2015-07-07,Gregory Pak | Aaron Kuder,,0
"Hard Truth, Part 2",Regular Cover - Aaron Kuder,42A,2,Action Comics,DC Comics,2015-07-07,Gregory Pak | Aaron Kuder,,0
Hard Truth,Aaron Kuder Regular Cover,43A,2,Action Comics,DC Comics,2015-08-14,Gregory Pak | Aaron Kuder,,0
Hard Truth,Aaron Kuder Regular Cover,44A,2,Action Comics,DC Comics,2015-09-12,Gregory Pak | Aaron Kuder | Howard Porter,,0
"Blind Justice, Part One",Aaron Kuder Regular Cover,45A,2,Action Comics,DC Comics,2015-11-20,Gregory Pak | Aaron Kuder | Scott Kolins,,0
"Blind Justice, Part Two: Into the Shadows",Aaron Kuder Regular Cover,46A,2,Action Comics,DC Comics,2016-06-09,Gregory Pak | Aaron Kuder | Scott Kolins,,0
"Blind Justice, Part Three: Consumed",N/A,47,2,Action Comics,DC Comics,2016-06-09,Gregory Pak | Aaron Kuder | Georges Jeanty,,0
"Savage Dawn, Assault",Aaron Kuder Regular Cover,48A,2,Action Comics,DC Comics,2016-01-24,Gregory Pak | Aaron Kuder | Rafa Sandoval,,0
"Savage Dawn, Immortal Combat",Aaron Kuder Regular Cover,49A,2,Action Comics,DC Comics,2016-03-19,Gregory Pak | Ardian Syaf | Scott Hanna,,0
"Savage Dawn, Resurrection",Regular Aaron Kuder Cover,50A,2,Action Comics,DC Comics,2016-03-19,Aaron Kuder | Greg Pak | Vicente Cifuentes,,0
"The Final Days of Superman, Part 3: Dazed and Confused",Karl Kerschl Regular Cover,51A,2,Action Comics,DC Comics,2016-06-03,Peter J. Tomasi | Paul Pelletier | Sandra Hope Archer,,0
"Final Days of Superman, Final Days of Superman, Part 6",Regular John Romita Jr Cover,52A,2,Action Comics,DC Comics,2016-06-03,Peter J. Tomasi | Dale Eaglesham | Scot Eaton,,0
Superman Doomed - Superdoom,N/A,3,2 Annual,Action Comics,DC Comics,2014-08-16,Gregory Pak | Pascal Alixe | Will Conrad,,0
"Path to Doom, Chapter 1",N/A,957B,3,Action Comics,DC Comics,2016-06-09,Dan Jurgens | Patrick Zircher,,0
"Path of Doom, Part Four",Regular Clay Mann Cover,960A,3,Action Comics,DC Comics,2017-01-11,Dan Jurgens | Tyler Kirkham,,0
"Path to Doom, Chapter 5",Regular Clay Mann Cover,961A,3,Action Comics,DC Comics,2017-01-11,Dan Jurgens | Stephen Segovia | Art Thibert,,0
"Path of Doom, Conclusion",Regular Clay Mann Cover,962A,3,Action Comics,DC Comics,2017-01-11,Dan Jurgens | Stephen Segovia | Art Thibert,,0
"Superman, Meet Clark Kent, Part 1",Regular Clay Mann Cover,963A,3,Action Comics,DC Comics,2017-02-25,Dan Jurgens | Patrick Zircher,,0
"Superman, Meet Clark Kent, Part 2",Regular Clay Mann Cover,964A,3,Action Comics,DC Comics,2017-02-25,Dan Jurgens | Patrick Zircher,,0
"Lois Lane, Back at the Planet, Part 1",Regular Clay Mann Cover,965A,3,Action Comics,DC Comics,2017-01-11,Dan Jurgens | Stephen Segovia | Art Thibert,,0
"Lois Lane, Back at the Planet, Part 2",Regular Clay Mann Cover,966A,3,Action Comics,DC Comics,2017-01-11,Dan Jurgens | Stephen Segovia | Art Thibert,,0
"Men of Steel, Part 1",Regular Clay Mann Cover,967A,3,Action Comics,DC Comics,2017-01-11,Dan Jurgens | Tyler Kirkham,,0
"Men of Steel, Part 2",Regular Clay Mann Cover,968A,3,Action Comics,DC Comics,2017-01-11,Dan Jurgens | Tyler Kirkham,,0
"Men of Steel, Part 3",Regular Tyler Kirkham Cover,969A,3,Action Comics,DC Comics,2017-02-25,Dan Jurgens | Patrick Zircher,,0
"Men of Steel, Part 4",Variant Gary Frank Cover,970B,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Patrick Zircher,,0
"Men of Steel, Part Five",Stephen Segovia Regular Cover,971A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Stephen Segovia | Art Thibert,,0
"Men of Steel, Conclusion",Regular Art Thibert Cover,972A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Stephen Segovia | Art Thibert,,0
"Mild Mannered, Part One",Regular Clay Mann Cover,973A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Patrick Zircher | Stephen Segovia,,0
"Mild Mannered, Part Two",Regular Clay Mann Cover,974A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Patrick Zircher | Stephen Segovia,,0
"Superman Reborn, Part 2 / The Man in the Purple Hat",Regular Patrick Gleason & Mick Gray Cover,975A,3,Action Comics,DC Comics,2017-06-09,Paul Dini | Dan Jurgens | Ian Churchill,,0
"Superman Reborn, Part 4",Regular Patrick Gleason & John Kalisz Cover,976A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Doug Mahnke | Christian Alamy,,0
"The New World, Part 1",Regular Andy Kubert Cover,977A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Ian Churchill,,0
"The New World, Part 2",Regular Andy Kubert Cover,978A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Carlo Barberi | Matt Santorelli,,0
"Revenge, Part 1",Regular Clay Mann & Tomeu Morey Cover,979A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Patrick Zircher,,0
"Revenge, Part II",Regular Clay Mann Cover,980A,3,Action Comics,DC Comics,2017-06-09,Dan Jurgens | Patch Zircher,,0
"Revenge, Revenge Part III",Regular Patrick Zircher Cover,981A,3,Action Comics,DC Comics,2017-07-02,Dan Jurgens | Jack Herbert,,0
"Revenge, Part IV",Regular Patrick Zircher Cover,982A,3,Action Comics,DC Comics,2017-11-05,Dan Jurgens | Jack Herbert | José Luis,,0
"Revenge, Part IV",Regular Patrick Zircher Cover,982A,3,Action Comics,DC Comics,2017-11-05,Dan Jurgens | Jack Herbert | José Luis,,0
"Revenge, Part V",Clay Mann Regular Cover,983A,3,Action Comics,DC Comics,2017-11-05,Dan Jurgens | Viktor Bogdanović | Jonathan Glapion,,0
"Revenge, Part V",Clay Mann Regular Cover,983A,3,Action Comics,DC Comics,2017-11-05,Dan Jurgens | Viktor Bogdanović | Jonathan Glapion,,0
"Revenge, Conclusion",Clay Mann Regular Cover,984A,3,Action Comics,DC Comics,2017-11-05,Dan Jurgens | Patrick Zircher,,0
"Revenge, Conclusion",Clay Mann Regular Cover,984A,3,Action Comics,DC Comics,2017-11-05,Dan Jurgens | Patrick Zircher,,0
"Only Human, Part 1",Regular Guillem March Cover,985A,3,Action Comics,DC Comics,2018-01-05,Rob Williams | Guillem March,,0
"Only Human, Part 2",Regular Guillem March Cover,986A,3,Action Comics,DC Comics,2018-01-05,Rob Williams | Guillem March,,0
"The Oz Effect, Part One",Regular Nick Bradshaw Lenticular Cover,987A,3,Action Comics,DC Comics,2018-01-05,Dan Jurgens | Viktor Bogdanović | Jonathan Glapion,,0
"The Oz Effect, Part Two",Regular Robson Rocha Lenticular Cover,988A,3,Action Comics,DC Comics,2018-01-05,Dan Jurgens | Ryan Sook,,0
"The Oz Effect, The Oz Effect Part Three",Regular Nick Bradshaw Lenticular Cover,989A,3,Action Comics,DC Comics,2017-11-05,Dan Jurgens | Viktor Bogdanović | Trevor Scott,,0
"The Oz Effect, The Oz Effect Part 4",Regular Nick Bradshaw Lenticular Cover,990A,3,Action Comics,DC Comics,2018-01-05,Dan Jurgens | Viktor Bogdanović | Scott Hanna,,0
"The Oz Effect, Conclusion",Regular Nick Bradshaw Lenticular Cover,991A,3,Action Comics,DC Comics,2018-01-05,Dan Jurgens | Viktor Bogdanović | Scott Hanna,,0
"The Oz Effect, After Effects",Regular Francis Manapul Cover,992A,3,Action Comics,DC Comics,2018-01-05,Will Conrad,,0
"Booster Shot, Part One",Regular Dan Jurgens & Trevor Scott Cover,993A,3,Action Comics,DC Comics,2018-01-05,Dan Jurgens | Joe Prado | Cam Smith,,0
"Booster Shot, Part II",Regular Dan Jurgens & Trevor Scott Cover,994A,3,Action Comics,DC Comics,2018-01-26,Dan Jurgens | Joe Prado | Trevor Scott,,0
Booster Shot,Regular Dan Jurgens & Trevor Scott Cover,995A,3,Action Comics,DC Comics,2018-01-26,Dan Jurgens | Brett Booth | Norm Rapmund,,0
"Booster Shot, Part IV",Regular Dan Jurgens & Trevor Scott Cover,996A,3,Action Comics,DC Comics,2018-02-20,Dan Jurgens | Will Conrad,,0
Booster Shot,Regular Brett Booth & Norm Rapmund Cover,997A,3,Action Comics,DC Comics,2018-02-20,Dan Jurgens | Brett Booth | Norm Rapmund,,0
"Booster Shot, Booster Shot Conclusion",Regular Will Conrad Cover,998A,3,Action Comics,DC Comics,2018-03-12,Dan Jurgens | Will Conrad,,0
What Would Superman Do?,Regular Brett Booth & Norm Rapmund Cover,999A,3,Action Comics,DC Comics,2018-05-05,Dan Jurgens | Will Conrad,,0
From The City That Has Everything / Never-Ending Battle / The Enemy Within / The Car / The Fifth Season / Of Tomorrow / Five MIntues / Actionland! / Faster Than A Speeding Bullet / The Truth,Regular Jim Lee & Scott Williams Cover,1000A,3,Action Comics,DC Comics,2018-05-05,Paul Dini | Marv Wolfman | Dan Jurgens,,0
Invisible Mafia,Regular Patrick Gleason Cover,1001A,3,Action Comics,DC Comics,2018-08-03,Brian Michael Bendis | Patrick Gleason,,0
"Invisible Mafia, Part 2",Regular Patrick Gleason Cover,1002A,3,Action Comics,DC Comics,2019-01-19,Brian Michael Bendis | Patrick Gleason,,0
"Invisible Mafia, Part 3",Regular Patrick Gleason Cover,1003A,3,Action Comics,DC Comics,2019-01-19,Brian Michael Bendis | Yanick Paquette,,0
"Invisible Mafia, Part 4",Regular Steve Rude Enhanced Foil Cover,1004A,3,Action Comics,DC Comics,2019-01-19,Brian Michael Bendis | Ryan Sook | Wade von Grawbadger,,0
"Invisible Mafia, Part 5",Regular Ryan Sook Cover,1005A,3,Action Comics,DC Comics,2019-01-19,Brian Michael Bendis | Ryan Sook,,0
"Invisible Mafia, Part 6",Regular Ryan Sook Cover,1006A,3,Action Comics,DC Comics,2019-01-19,Brian Michael Bendis | Ryan Sook,,0
"Leviathan Rising, Part 1",Regular Steve Epting Cover,1007A,3,Action Comics,DC Comics,2019-05-04,Brian Michael Bendis | Steve Epting,,0
"Leviathan Rising, Part 2",Regular Steve Epting Cover,1008A,3,Action Comics,DC Comics,2019-05-04,Brian Michael Bendis | Steve Epting,,0
"Leviathan Rising, Leviathan Rising Part 3",Regular Steve Epting Cover,1009A,3,Action Comics,DC Comics,2019-05-04,Brian Michael Bendis | Steve Epting,,0
"Leviathan Rises, Part 4",Regular Steve Epting Cover,1010A,3,Action Comics,DC Comics,2019-05-11,Brian Michael Bendis | Steve Epting,,0
"Leviathan Rises, Leviathan Rises Part 5",Regular Steve Epting Cover,1011A,3,Action Comics,DC Comics,2019-06-10,Brian Michael Bendis | Steve Epting,,0
